canonical_smiles,molecule_chembl_id,standard_value,value
O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,CHEMBL485258,0.49,0.49
O=CN/C=C/c1cc(O)ccc1O,CHEMBL47986,0.2,0.2
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,0.35,0.35
O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,CHEMBL483830,0.011,0.011
O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,CHEMBL483831,0.17,0.17
O=C(O)c1cc(/N=C\c2cc(O)ccc2O)ccc1O,CHEMBL520491,0.76,0.76
O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,CHEMBL319620,0.012,0.012
O=Cc1cc(O)ccc1O,CHEMBL243186,33.0,33.0
Nc1ccc(O)c(C(=O)O)c1,CHEMBL704,2.7,2.7
Nc1cc(C(=O)O)ccc1O,CHEMBL242963,100.0,100.0
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,CHEMBL4537790,190.0,190.0
Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21,CHEMBL4566193,270.0,270.0
Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,CHEMBL4525935,5100.0,5100.0
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353410,81.0,81.0
Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,CHEMBL4550104,2300.0,2300.0
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,CHEMBL4434788,10000.0,10000.0
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,CHEMBL4449589,3600.0,3600.0
CC(C)(O)Cn1/c(=N/C(=O)c2cc(F)cc(-c3cccnc3)c2)[nH]c2ccccc21,CHEMBL4591327,,
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,CHEMBL4562138,1100.0,1100.0
O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2,CHEMBL4519157,1300.0,1300.0
COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2CC(C)(C)O)ccn1,CHEMBL4532034,700.0,700.0
CC(C)(O)Cn1/c(=N/C(=O)c2cccc(-c3cccnc3)c2)[nH]c2ccccc21,CHEMBL4444231,,
